,HOM,REL,D/SD,MED,QUA,STM,TOM,TRI,Unknown
Jazz,0.021,0.062,0.094,0.521,0.01,0.083,0.177,0.031,
Choro,0.17,0.372,0.383,0.064,,,0.011,,
Samba,0.417,0.583,,,,,,,
Tom Jobim,0.126,0.08,0.08,0.425,0.023,0.115,0.138,0.011,
Ivan Lins,0.036,0.096,0.157,0.446,0.024,0.12,0.072,0.048,
Chico Buarque,0.222,0.244,0.133,0.2,0.089,0.111,,,
Edu Lobo,0.081,0.135,0.054,0.351,,0.176,0.203,,
Caetano Veloso,0.12,0.12,0.18,0.24,0.02,0.06,0.26,,
Djavan,0.07,0.186,0.163,0.302,,0.047,0.209,0.023,
João Bosco,0.333,0.128,0.231,0.179,0.051,0.051,,0.026,
Milton Nascimento,0.205,0.141,0.192,0.064,0.064,0.077,0.256,,
Gilberto Gil,0.074,0.25,0.176,0.162,0.015,0.132,0.162,0.029,
Rita Lee,0.077,0.128,0.333,0.103,0.026,0.026,0.308,,
Carlos Lyra,0.071,0.048,0.238,0.405,0.024,0.048,0.048,0.071,0.048
Dori Caymmmi,,0.328,0.086,0.224,0.034,0.086,0.224,0.017,
Cartola,0.143,0.071,,0.643,0.071,,0.071,,
Gonzaguinha,0.1,0.4,0.1,0.4,,,,,
